id,title,vote_average,vote_count,popularity,year,month,day
278,The Shawshank Redemption,StandardScaler(),StandardScaler(),StandardScaler(),1994,9,23
238,The Godfather,StandardScaler(),StandardScaler(),StandardScaler(),1972,3,14
240,The Godfather Part II,StandardScaler(),StandardScaler(),StandardScaler(),1974,12,20
424,Schindler's List,StandardScaler(),StandardScaler(),StandardScaler(),1993,12,15
389,12 Angry Men,StandardScaler(),StandardScaler(),StandardScaler(),1957,4,10
129,Spirited Away,StandardScaler(),StandardScaler(),StandardScaler(),2001,7,20
155,The Dark Knight,StandardScaler(),StandardScaler(),StandardScaler(),2008,7,16
19404,Dilwale Dulhania Le Jayenge,StandardScaler(),StandardScaler(),StandardScaler(),1995,10,20
497,The Green Mile,StandardScaler(),StandardScaler(),StandardScaler(),1999,12,10
496243,Parasite,StandardScaler(),StandardScaler(),StandardScaler(),2019,5,30
122,The Lord of the Rings: The Return of the King,StandardScaler(),StandardScaler(),StandardScaler(),2003,12,17
680,Pulp Fiction,StandardScaler(),StandardScaler(),StandardScaler(),1994,9,10
372058,Your Name.,StandardScaler(),StandardScaler(),StandardScaler(),2016,8,26
13,Forrest Gump,StandardScaler(),StandardScaler(),StandardScaler(),1994,6,23
157336,Interstellar,StandardScaler(),StandardScaler(),StandardScaler(),2014,11,5
429,"The Good, the Bad and the Ugly",StandardScaler(),StandardScaler(),StandardScaler(),1966,12,22
769,GoodFellas,StandardScaler(),StandardScaler(),StandardScaler(),1990,9,12
346,Seven Samurai,StandardScaler(),StandardScaler(),StandardScaler(),1954,4,26
12477,Grave of the Fireflies,StandardScaler(),StandardScaler(),StandardScaler(),1988,4,16
637,Life Is Beautiful,StandardScaler(),StandardScaler(),StandardScaler(),1997,12,20
550,Fight Club,StandardScaler(),StandardScaler(),StandardScaler(),1999,10,15
667257,Impossible Things,StandardScaler(),StandardScaler(),StandardScaler(),2021,6,17
14537,Harakiri,StandardScaler(),StandardScaler(),StandardScaler(),1962,9,15
11216,Cinema Paradiso,StandardScaler(),StandardScaler(),StandardScaler(),1988,11,17
598,City of God,StandardScaler(),StandardScaler(),StandardScaler(),2002,8,30
120,The Lord of the Rings: The Fellowship of the Ring,StandardScaler(),StandardScaler(),StandardScaler(),2001,12,18
